name,"area_id"
"Adventureland","1005"
"Fantasyland","1005"
"Frontierland","1005"
"Liberty Square","1005"
"Main Street USA","1005"
"Tomorrowland","1005"
"Future World East","1003"
"Future World West","1003"
"World Showcase Mexico","1003"
"World Showcase China","1003"
"World Showcase Norway","1003"
"World Showcase Italy","1003"
"World Showcase Germany","1003"
"World Showcase Japan","1003"
"World Showcase France","1003"
"World Showcase Morocco","1003"
"World Showcase Canada","1003"
"Hollywood Boulevard","1004"
"Echo Lake","1004"
"Muppets Courtyard","1004"
"Commissary Lane","1004"
"Pixar Place","1004"
"Animation Courtyard","1004"
"Sunset Boulevard","1004"
"Oasis","1001"
"Discovery Island","1001"
"Pandora World of Avatar","1001"
"Africa","1001"
"Asia","1001"
"Dinoland USA","1001"
"Blizzard Beach","1002"
"Typhoon Lagoon","1006"
